borrowingEnabled,decimals,id,pool,reserveLiquidationBonus,reserveLiquidationThreshold,stableBorrowRateEnabled,symbol,usageAsCollateralEnabled
True,18,0x0000000000085d4780b73119b644ae5ecd22b3760xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10500.0,8250.0,True,TUSD,True
False,18,0x004375dff511095cc5a197a54140a24efef3a4160xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniWBTCUSDC,True
True,18,0x03ab458634910aad20ef5f1c8ee96f1d6ac549190xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,RAI,False
True,2,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,GUSD,False
True,18,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,6000.0,False,YFI,True
True,18,0x0d8775f648430679a709e98d2b0cb6250d2887ef0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,7500.0,True,BAT,True
True,18,0x0f5d2fb29fb7d3cfee444a200298f468908cc9420xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,6500.0,True,MANA,True
True,18,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,7000.0,False,DPI,True
False,18,0x1eff8af5d577060ba4ac8a29a13525bb0ee2a3d50xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmBptWBTCWETH,True
True,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f9840xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,7000.0,False,UNI,True
True,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11000.0,7500.0,False,AmmWBTC,True
True,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c5990xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,7500.0,True,WBTC,True
False,18,0x2fdbadf3c4d5a8666bc06645b8358ab803996e280xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,6000.0,False,AmmUniYFIWETH,True
False,18,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,6000.0,False,AmmUniCRVWETH,True
True,18,0x408e41876cccdc0f92210600ef50372656052a380xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,6000.0,True,REN,True
False,18,0x43ae24960e5534731fc831386c07755a2dc33d470xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,6000.0,False,AmmUniSNXWETH,True
True,18,0x4fabb145d64652a948d72533023f6e7a623c7c530xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,BUSD,False
True,18,0x514910771af9ca656af840dff83e8264ecf986ca0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,7500.0,True,LINK,True
True,18,0x57ab1ec28d129707052df4df418d58a2d46d5f510xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,SUSD,False
False,18,0x59a19d8c652fa0284f44113d0ff9aba70bd46fb40xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmBptBALWETH,True
True,18,0x6b175474e89094c44da98b954eedeac495271d0f0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,10500.0,8000.0,False,AmmDAI,True
True,18,0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10500.0,8000.0,True,DAI,True
False,18,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae90xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,7000.0,False,AAVE,True
True,18,0x853d955acef822db058eb8505911ed77f175b99e0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,FRAX,False
True,18,0x8798249c2e607446efb7ad49ec89dd1865ff42720xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,6000.0,False,XSUSHI,True
False,18,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniRENWETH,True
True,18,0x8e870d67f660d95d5be530380d0ec0bd388289e10xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,PAX,False
True,18,0x956f47f50a910163d8bf957cf5846d573e7f87ca0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0.0,0.0,False,FEI,False
True,18,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10800.0,7000.0,True,MKR,True
True,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,10500.0,8500.0,False,AmmUSDC,True
True,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10500.0,8500.0,True,USDC,True
False,18,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b9740xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniLINKWETH,True
False,18,0xa478c2975ab1ea89e8196811f51a7b7ade33eb110xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniDAIWETH,True
False,18,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d50xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniDAIUSDC,True
False,18,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniUSDCWETH,True
False,18,0xb6909b960dbbe7392d405429eb2b3649752b48380xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniBATWETH,True
True,18,0xba100000625a3754423978a60c9317c58a424e3d0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11000.0,7000.0,False,BAL,True
False,18,0xbb2b8038a1640196fbe3e38816f3e67cba72d9400xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniWBTCWETH,True
True,18,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10750.0,4500.0,False,SNX,True
True,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,10500.0,8250.0,False,AmmWETH,True
True,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10500.0,8500.0,True,WETH,True
False,18,0xc2adda861f89bbb333c90c492cb837741916a2250xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,11500.0,7000.0,False,AmmUniMKRWETH,True
