borrowRateModeFrom,borrowRateModeTo,pool,reserve,stableBorrowRate,timestamp,user,variableBorrowRate,type
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.988390167598812,1613216311,0xd0698d231d4b65b97a3df9c16aafda8d9b0bda41,3.976780335197623,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,14.096271353685458,1613943756,0x5c2acae2bfbf75b7a2f045dc7f4326bc4f0b048d,9.096271353685458,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,12.567462364965278,1617270491,0x7f6fa589d48d42fd290a976abd9634c32405ec0b,4.5674623649652775,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.996131954111947,1614461983,0xccec96a03dda5c438996701f26bef600366a137b,3.992263908223894,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.96982399598544,1619275604,0xf8523151211e6cfb2d285b9b92f2ee517722253b,3.9396479919708813,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,16.79800588039369,1619675385,0xea1feb9a9a006a7fc253c6ca87349be0da072f25,8.79800588039369,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.976247991063254,1614501161,0x251a585e54722ccbdf7824da8e28b0ee1f8e7616,3.9524959821265075,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.871409619644172,1614134583,0x82bb6b5e92e1143fc03ee468a7ba9df8e955f7c2,3.742819239288341,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,10.937786317473273,1613847062,0x43ba3b417e914bed27db8e16f4e9de0247ba6597,5.9377863174732735,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.583355481086478,1625369923,0x408054d6a13775fd3f916f8aa13df6bccdd0505e,3.166710962172957,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.989305080769645,1619447465,0x42edc9e6a511bcc25503e1eff7ca77b635fb39ba,3.978610161539293,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.92109119144041,1619536316,0x0aed46911bbe66a40714b67c1d206a9e4f4b6fa3,3.842182382880821,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,31.20295567001786,1619506594,0xcd262b16421ac23d13d345e4e08875374d5235bf,23.20295567001786,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.9320296536865,1615504160,0xa81ace214b97d4b9c2072a934d0c4de486757538,3.8640593073729983,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.718171737493405,1621812575,0xa3dcfd89481f6fb20ccac4d3a997267fc8c44366,3.43634347498681,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,19.774908838664967,1613692071,0x0bc8d5c89483cd83f2752c79f02286e619db3643,14.774908838664969,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,5.9995826936288905,1608646590,0xcd89d190353b1d0d4c103102c38b76f7696d511d,3.99916538725778,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.94646771657211,1621241794,0x04c843c465106d460e067ebbf9f7b8f5aee461c0,3.8929354331442187,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.906644261225823,1610281339,0x93471e6895135e73488a8d84db97471fb8bbce9f,3.8132885224516486,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.95130988813396,1618817548,0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,3.9026197762679176,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.344128255646712,1613222177,0x13e1e72a57e58b710f60d801268c572e4283b551,5.344128255646712,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,TUSD,11.723287679299862,1618757467,0x13e1e72a57e58b710f60d801268c572e4283b551,3.446575358599724,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.84699138788946,1621714171,0xe13cec7b2c10574e5e89a780582b66d2c3c71b80,3.6939827757789208,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,WBTC,3.937313588021768,1627817775,0x0da7debf7da2a0f63e5feadca685b75d161214c2,0.7498508704174147,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,TUSD,11.84472004188493,1619204007,0xe291cca251f33ca5ec0c9d910be21765408e2357,3.689440083769861,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.926214389437975,1615600942,0xf02e37cee6149947dd5e7dba750e64ed5e84e146,3.852428778875953,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.993837747881036,1619427009,0xef5c8dfb7abaa3acd759d77fb156cea315eb69b8,3.987675495762074,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,5.996715020386526,1609020482,0xa1e29a54467deba55dbf27f8850bde11466ab38e,3.993430040773053,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.109112674607141,1614026990,0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,5.109112674607142,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.812276661073984,1623560608,0x5c7c6d069ba232718f37c27a9549b547c359e31c,3.624553322147967,swap
